id,amount,side,instrument,from,to,open,close,pl
204,471,Buy,GLE.PA,2002-07-03T22:00:00Z,2002-07-08T22:00:00Z,29.579874,30.430569,400.677345
205,685,Buy,BNP.PA,2002-07-11T22:00:00Z,2002-07-15T22:00:00Z,22.870201,21.810917,-725.609540
206,513,Sell,GLE.PA,2002-07-11T22:00:00Z,2002-07-15T22:00:00Z,27.902758,26.055563,947.611035
207,714,Sell,BNP.PA,2002-07-28T22:00:00Z,2002-07-29T22:00:00Z,22.533144,22.051691,343.757442
208,519,Buy,GLE.PA,2002-07-28T22:00:00Z,2002-07-29T22:00:00Z,26.760435,26.760435,0.000000
209,701,Buy,BNP.PA,2002-07-30T22:00:00Z,2002-07-31T22:00:00Z,22.581314,22.051691,-371.265723
210,510,Sell,GLE.PA,2002-07-30T22:00:00Z,2002-07-31T22:00:00Z,27.708357,25.375011,1190.006460
211,713,Buy,BNP.PA,2002-08-01T22:00:00Z,2002-08-07T22:00:00Z,21.859085,23.784986,1373.167413
212,529,Sell,GLE.PA,2002-08-01T22:00:00Z,2002-08-07T22:00:00Z,27.173620,29.312504,-1131.469636
213,662,Buy,BNP.PA,2002-08-08T22:00:00Z,2002-08-15T22:00:00Z,23.688704,23.110924,-382.490360
214,472,Sell,GLE.PA,2002-08-08T22:00:00Z,2002-08-15T22:00:00Z,30.260429,28.947908,619.509912
215,655,Buy,BNP.PA,2002-08-25T22:00:00Z,2002-08-26T22:00:00Z,23.977602,25.084999,725.345035
216,461,Sell,GLE.PA,2002-08-25T22:00:00Z,2002-08-26T22:00:00Z,30.916656,31.645849,-336.157973
217,694,Buy,BNP.PA,2002-08-28T22:00:00Z,2002-09-03T22:00:00Z,22.773918,21.040579,-1202.937266
218,487,Sell,GLE.PA,2002-08-28T22:00:00Z,2002-09-03T22:00:00Z,29.093786,26.541658,1242.886336
219,732,Buy,BNP.PA,2002-09-09T22:00:00Z,2002-09-12T22:00:00Z,21.666521,20.366514,-951.605124
220,499,Sell,GLE.PA,2002-09-09T22:00:00Z,2002-09-12T22:00:00Z,28.243040,26.322931,958.134391
221,974,Sell,BNP.PA,2002-09-24T22:00:00Z,2002-09-25T22:00:00Z,16.851709,18.247999,-1359.986460
222,648,Buy,GLE.PA,2002-09-24T22:00:00Z,2002-09-25T22:00:00Z,20.951420,23.313873,1530.869544
223,901,Buy,BNP.PA,2002-09-26T22:00:00Z,2002-10-06T22:00:00Z,17.766544,14.203573,-3210.236871
224,600,Sell,GLE.PA,2002-09-26T22:00:00Z,2002-10-06T22:00:00Z,23.275032,19.249985,2415.028200
225,1162,Sell,BNP.PA,2002-10-07T22:00:00Z,2002-10-10T22:00:00Z,14.492466,16.370256,-2181.991980
226,689,Buy,GLE.PA,2002-10-07T22:00:00Z,2002-10-10T22:00:00Z,19.070160,22.249300,2190.427460
227,896,Sell,BNP.PA,2002-10-14T22:00:00Z,2002-10-17T22:00:00Z,18.392443,19.259115,-776.538112
228,547,Buy,GLE.PA,2002-10-14T22:00:00Z,2002-10-17T22:00:00Z,24.694456,25.885424,651.459496
229,901,Sell,BNP.PA,2002-10-24T22:00:00Z,2002-11-04T23:00:00Z,18.199883,20.173901,-1778.590218
230,560,Buy,GLE.PA,2002-10-24T22:00:00Z,2002-11-04T23:00:00Z,24.256954,26.493073,1252.226640
